obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-939.65600886 -722.9748558    53.03705427],[-0.06120922 -0.00622158 -2.44566974],[  -78.78673905 -1153.54733431   149.2532243 ],[-0.07484962  0.01628104 -1.64481251]
[-939.63093936 -722.99348685   53.04886063],[-0.06140322 -0.00658008 -2.44537296],[  -78.78394731 -1153.4767951    149.2074444 ],[-0.07460635  0.0159781  -1.64525112]
[-939.63914351 -722.98775053   53.06983162],[-0.06132359 -0.00647292 -2.44574512],[  -78.75986725 -1153.4608285    149.16440964],[-0.07449445  0.01570715 -1.64533349]
[-939.73854395 -722.91430107   53.18795315],[-0.06199629 -0.00864343 -2.44618064],[  -78.75448838 -1153.43436903   149.1733646 ],[-0.07415594  0.01578143 -1.6452121 ]
[-939.64782601 -723.02047993   53.02758539],[-0.06186692 -0.00651979 -2.44555695],[  -78.77573171 -1153.51997295   149.2346763 ],[-0.07499189  0.01615823 -1.64511288]
[-939.78126243 -722.87969004   53.17828034],[-0.06232878 -0.00845394 -2.44504327],[  -78.78682824 -1153.52060256   149.23099102],[-0.07502546  0.01610457 -1.64526228]
[-939.90209828 -723.09992393   52.80339783],[-6.05537351e-02 -6.13640729e-05 -2.44817803e+00],[  -78.78174558 -1153.42814443   149.19371707],[-0.074446    0.01595661 -1.64542151]
[-939.62427545 -723.00887501   53.04675394],[-0.06200982 -0.00694805 -2.44533712],[  -78.77370337 -1153.53403033   149.2208859 ],[-0.07501975  0.01604335 -1.64509081]
[-939.62601763 -722.99922141   53.04407665],[-0.06164613 -0.00678651 -2.44559642],[  -78.7500994  -1153.55507005   149.2107271 ],[-0.07501217  0.01590479 -1.64483495]
[-939.63747004 -722.98245862   53.025054  ],[-0.06149397 -0.00656191 -2.44536154],[  -78.71122922 -1153.67548177   149.21989715],[-0.07536965  0.01565809 -1.64402462]
[-939.60666796 -723.03648966   53.04188473],[-0.06174752 -0.00743597 -2.44549493],[  -78.78004983 -1153.41274058   149.1682    ],[-0.07428596  0.01578494 -1.64561791]
[-939.62709799 -723.01332606   53.05079965],[-0.06224849 -0.00685002 -2.4456584 ],[  -78.77221363 -1153.52470287   149.22910203],[-0.07473999  0.01604944 -1.64487701]
[-939.6432707  -722.97241307   53.03344763],[-0.06141353 -0.00720678 -2.44507846],[  -78.79530131 -1153.42573559   149.19602678],[-0.07444376  0.01604434 -1.645574  ]
[-939.78447144 -722.91487315   53.1600587 ],[-0.06210327 -0.00832798 -2.44571676],[  -78.75562643 -1153.46483021   149.18707607],[-0.07445287  0.01579492 -1.64519769]
[-939.65677089 -722.97778501   53.02863878],[-0.06123153 -0.0058585  -2.44586261],[  -78.77329204 -1153.49192169   149.19977212],[-0.0748049   0.01592188 -1.6453074 ]
[-939.62657484 -723.01608909   53.04710553],[-0.06197363 -0.00702615 -2.44537668],[  -78.77202811 -1153.53767617   149.23004805],[-0.0749163   0.01609748 -1.64501549]
[-939.61675436 -722.9970635    53.0434146 ],[-0.06142296 -0.00719788 -2.44572597],[  -78.76910795 -1153.596384     149.23579674],[-0.07502647  0.0161314  -1.64457503]
[-939.61710444 -723.02019247   53.06486534],[-0.06182    -0.0067755  -2.44556216],[  -78.79039364 -1153.54725829   149.24661167],[-0.07519722  0.01617089 -1.64508554]
