obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-873.19971627 -786.24340367   23.32586762],[ 0.00610419 -0.02145849 -0.90279161],[-1958.8716302   1850.12170871   824.02910127],[ 0.02835613 -0.01435658  0.60320385]
[-873.22231641 -786.25210082   23.31571307],[ 0.00592822 -0.02081899 -0.90297428],[-1958.84523286  1850.14456339   823.96940815],[ 0.02883124 -0.01432197  0.60344851]
[-873.12602266 -786.27429159   23.40297726],[ 0.00807708 -0.02179354 -0.90423767],[-1958.87632907  1850.10844189   823.99053575],[ 0.02876299 -0.01416846  0.60334137]
[-873.17346142 -786.25465667   23.35078144],[ 0.00635486 -0.0208637  -0.90310589],[-1958.88929006  1850.08002354   823.92935127],[ 0.02871532 -0.01414536  0.60294551]
[-873.16962843 -786.24995957   23.38498353],[ 0.00736572 -0.02148428 -0.90371819],[-1958.84402281  1850.05594516   823.94681681],[ 0.02862815 -0.01428152  0.60332768]
[-873.17739124 -786.26851442   23.35140093],[ 0.00674017 -0.02151041 -0.90315153],[-1958.83940599  1850.0792241    824.00122611],[ 0.0284757  -0.01398532  0.60384166]
[-873.15554988 -786.24179037   23.40196236],[ 0.00813668 -0.02163503 -0.90391788],[-1958.85558027  1850.09541104   823.98572051],[ 0.02866709 -0.01417913  0.60356116]
[-873.15775622 -786.27531308   23.37553242],[ 0.00672221 -0.02147408 -0.90344734],[-1958.90727889  1850.14548069   824.06305816],[ 0.02840069 -0.01427936  0.60312328]
[-873.14981962 -786.28313623   23.37662068],[ 0.00594244 -0.02106613 -0.90328276],[-1958.86277609  1850.09882611   823.929289  ],[ 0.02879377 -0.01427315  0.60315062]
[-873.1779482  -786.23829557   23.39258679],[ 0.00661035 -0.02135967 -0.90339637],[-1958.84538731  1850.14167911   823.97921498],[ 0.02877435 -0.01430937  0.60337434]
[-873.17278711 -786.24734276   23.36990755],[ 0.00674047 -0.02090211 -0.90324477],[-1958.85922173  1850.09928452   824.02153241],[ 0.02843165 -0.0141626   0.60366463]
[-873.17402619 -786.22546084   23.372984  ],[ 0.00706865 -0.02119924 -0.90358047],[-1958.84741469  1850.06110202   823.96112757],[ 0.02853977 -0.01406966  0.60354438]
[-873.17449083 -786.27350077   23.35549584],[ 0.00638783 -0.02142864 -0.90330449],[-1958.84951619  1850.0963499    823.96114969],[ 0.02871062 -0.0143383   0.6032944 ]
[-873.16234414 -786.26330817   23.38887324],[ 0.00649638 -0.02205694 -0.90343181],[-1958.8599611   1850.08849391   823.97397609],[ 0.02842543 -0.01415746  0.6031383 ]
[-873.19367351 -786.26256244   23.34344149],[ 0.00654945 -0.02137481 -0.90306129],[-1958.8436103   1850.07214406   823.96976289],[ 0.02852931 -0.01426455  0.60355219]
[-873.16678686 -786.25219948   23.3857981 ],[ 0.00679157 -0.02172238 -0.90357281],[-1958.87556526  1850.13319375   824.05825868],[ 0.02833009 -0.01428347  0.60345556]
[-873.14902057 -786.25403173   23.39442141],[ 0.00714789 -0.02150278 -0.90327213],[-1958.66471957  1849.90032683   823.68881609],[ 0.02924805 -0.01529102  0.60487809]
[-873.15056804 -786.26556894   23.40282455],[ 0.00769305 -0.02138465 -0.90396498],[-1958.84653952  1850.1138895    823.98010294],[ 0.02874177 -0.01426434  0.6033522 ]
[-873.16052241 -786.23938491   23.36714433],[ 0.0072416  -0.02103711 -0.90321761],[-1958.90036781  1850.13117753   824.02266357],[ 0.02866724 -0.01424358  0.60292972]
[-873.15699224 -786.25096588   23.39425077],[ 0.00751476 -0.02164087 -0.90412914],[-1958.89604184  1850.10012022   824.01982245],[ 0.02844477 -0.01418445  0.60321635]
[-873.14135213 -786.27477236   23.40338263],[ 0.00721147 -0.02140681 -0.90378916],[-1958.85360492  1850.06625226   823.95993452],[ 0.02867985 -0.01409944  0.60340574]
[-873.16403625 -786.2749149    23.37612836],[ 0.00709497 -0.02133775 -0.90370417],[-1958.83597206  1850.08430243   823.94014242],[ 0.0287515  -0.01428304  0.60344961]
[-873.17490065 -786.25446406   23.36489883],[ 0.00693592 -0.021532   -0.9035526 ],[-1958.88621356  1850.10301568   823.99376199],[ 0.02867613 -0.01425315  0.60308539]
[-873.1821657  -786.26260574   23.34229246],[ 0.00602889 -0.02141052 -0.90275731],[-1958.87042754  1850.15671065   824.04643011],[ 0.02876782 -0.01435185  0.60336242]
[-873.18511456 -786.25035514   23.3552512 ],[ 0.00649243 -0.02141739 -0.90328176],[-1958.89594215  1850.13133942   824.02095072],[ 0.02860499 -0.01432729  0.60303384]
[-873.16514491 -786.26466732   23.41293255],[ 0.00738931 -0.021568   -0.90344462],[-1958.85487253  1850.09261328   823.98992051],[ 0.02851827 -0.01418727  0.60344666]
[-873.16138141 -786.27633439   23.35359118],[ 0.00642475 -0.02110041 -0.90336967],[-1958.87924075  1850.10627641   823.981972  ],[ 0.02868102 -0.0142842   0.60309701]
[-873.14443851 -786.26180541   23.36227559],[ 0.0069586  -0.02163553 -0.90362466],[-1958.86441137  1850.09274169   823.96480008],[ 0.02860521 -0.01425942  0.60317606]
[-873.13758424 -786.25841919   23.41270845],[ 0.00774911 -0.02167978 -0.90398093],[-1958.88116426  1850.15371759   824.01878326],[ 0.02871137 -0.0143148   0.60307667]
[-873.18007118 -786.22651779   23.35246757],[ 0.00720848 -0.02143469 -0.90345598],[-1958.8348285   1850.10451148   823.87970057],[ 0.02897845 -0.01422035  0.60309475]
[-873.16367681 -786.25803538   23.36944093],[ 0.00705921 -0.02119635 -0.90329231],[-1958.87852614  1850.11404843   824.04406295],[ 0.02834797 -0.01429842  0.60332877]
[-873.18349631 -786.23998787   23.3656628 ],[ 0.00719075 -0.02085087 -0.90362317],[-1958.88702019  1850.13359018   823.98804291],[ 0.02872958 -0.01428719  0.6030262 ]
[-873.14804899 -786.23655332   23.40292129],[ 0.00837142 -0.02140037 -0.9042138 ],[-1958.87159019  1850.08657983   823.99184108],[ 0.02953163 -0.01436535  0.60404349]
[-873.18345376 -786.27511045   23.33031996],[ 0.00578474 -0.02121343 -0.90279617],[-1958.86673218  1850.1120947    823.99484973],[ 0.02862765 -0.01419144  0.60325246]
[-873.17128253 -786.2441071    23.35388853],[ 0.00731584 -0.02083022 -0.90334228],[-1958.8754876   1850.08289488   823.94317838],[ 0.02887412 -0.01428391  0.6030146 ]
[-873.16709976 -786.26310093   23.35557918],[ 0.00684987 -0.02136275 -0.90344469],[-1958.87514974  1850.06682921   823.97802884],[ 0.02865902 -0.01407879  0.6034356 ]
[-873.17413873 -786.26372651   23.34834689],[ 0.00659321 -0.0212637  -0.9032576 ],[-1958.87687425  1850.08538571   824.00634819],[ 0.02846779 -0.01415597  0.60348063]
[-873.16334596 -786.25354067   23.36299974],[ 0.00663814 -0.02093588 -0.90316759],[-1958.83679058  1850.09996256   823.970431  ],[ 0.02859656 -0.01426508  0.6034594 ]
[-873.15057271 -786.28580924   23.37481323],[ 0.00707566 -0.02131336 -0.90350802],[-1958.67744128  1849.91336776   823.69518671],[ 0.02915282 -0.01504731  0.60483304]
[-873.17595046 -786.22868516   23.3799602 ],[ 0.00701857 -0.0208782  -0.9033135 ],[-1958.84510811  1850.07744493   824.04362952],[ 0.02808147 -0.01428334  0.60400159]
[-873.18221257 -786.24914237   23.33792312],[ 0.00683963 -0.02141578 -0.90307241],[-1958.85285979  1850.09038045   823.92909479],[ 0.02887405 -0.01419448  0.6031608 ]
[-873.14437002 -786.25494824   23.39108068],[ 0.00710617 -0.0211116  -0.90381852],[-1958.88652975  1850.10484433   824.01910039],[ 0.02859978 -0.01435877  0.60314963]
[-873.19123838 -786.25310867   23.3506919 ],[ 0.00620853 -0.02151844 -0.90288408],[-1958.83738663  1850.07836498   823.99645923],[ 0.02842671 -0.01432449  0.6035143 ]
[-873.19021217 -786.25175005   23.36425463],[ 0.00686056 -0.02135655 -0.90325403],[-1958.86150124  1850.10802969   823.99621594],[ 0.02853638 -0.01417252  0.6033767 ]
[-873.14373877 -786.27715708   23.40930949],[ 0.00695095 -0.02179538 -0.90414541],[-1958.86479719  1850.09587549   823.95321976],[ 0.02871683 -0.01428817  0.6030185 ]
[-873.18120509 -786.24942286   23.33464447],[ 0.00647103 -0.0211213  -0.90326935],[-1958.86312837  1850.08374767   823.97052285],[ 0.02847949 -0.01415794  0.60325555]
[-873.1539696  -786.25420942   23.39248004],[ 0.00807742 -0.0217517  -0.90426068],[-1958.88310267  1850.08272935   823.96642893],[ 0.02860903 -0.01397228  0.60320755]
[-873.16381814 -786.27537339   23.37450218],[ 0.0063077  -0.02101623 -0.9032088 ],[-1958.79489697  1850.00745972   823.89835513],[ 0.0286351  -0.01418688  0.60387029]
[-873.14825593 -786.2389182    23.41291058],[ 0.00774811 -0.0220122  -0.90372305],[-1958.86841843  1850.11508281   823.99076306],[ 0.02858645 -0.01431329  0.60305724]
[-873.16062731 -786.25616969   23.37723966],[ 0.00662851 -0.02137107 -0.9032349 ],[-1958.85158155  1850.09453594   823.98386043],[ 0.02838812 -0.01433286  0.60330334]
[-873.17353787 -786.23114697   23.37151897],[ 0.00689818 -0.02097091 -0.9035551 ],[-1958.86567716  1850.09239403   823.97872438],[ 0.02859078 -0.01425877  0.60317222]
[-873.15527648 -786.26659122   23.37201634],[ 0.00678584 -0.02155819 -0.90392457],[-1958.86212961  1850.06080238   823.95361131],[ 0.02866357 -0.01405721  0.60339654]
[-873.16160064 -786.27802712   23.36194984],[ 0.00719231 -0.02137471 -0.90374052],[-1958.81909822  1850.08812239   823.96155712],[ 0.02869139 -0.01445876  0.60357507]
[-873.15654486 -786.29183505   23.37822396],[ 0.00638281 -0.02154677 -0.90332738],[-1958.67143376  1849.91094898   823.68323355],[ 0.02920653 -0.01517263  0.60478223]
[-873.18234419 -786.23921008   23.3448186 ],[ 0.00611902 -0.02123298 -0.90308151],[-1958.87162197  1850.0955965    823.98024347],[ 0.0286048  -0.01419897  0.60323963]
[-873.16574156 -786.24702172   23.38729265],[ 0.00735127 -0.02116384 -0.90361901],[-1958.8425603   1850.0952795    823.97905326],[ 0.02886974 -0.01429242  0.60362341]
[-873.1801538  -786.25081308   23.35750234],[ 0.00645295 -0.02111075 -0.90315934],[-1958.86332944  1850.09470338   823.95689591],[ 0.02873575 -0.01426727  0.60296473]
[-873.18700336 -786.27768489   23.35081249],[ 0.00568422 -0.0212042  -0.90287637],[-1958.85029557  1850.09605458   824.00217709],[ 0.02849926 -0.01425546  0.60367798]
[-873.14347265 -786.30375199   23.37300474],[ 0.00636304 -0.02149334 -0.90325381],[-1958.83133631  1850.05472875   823.95132946],[ 0.02837621 -0.01428662  0.60330736]
[-873.19156185 -786.24646196   23.33268531],[ 0.00624856 -0.02076826 -0.90263225],[-1958.88305712  1850.12471401   824.02385514],[ 0.02855768 -0.01425578  0.60318456]
[-873.20967269 -786.27430628   23.32661262],[ 0.00562834 -0.02104211 -0.90270882],[-1958.89669946  1850.09287307   824.0107314 ],[ 0.02845481 -0.01408854  0.60309037]
[-873.13591009 -786.29034301   23.39946117],[ 0.00704615 -0.02175901 -0.90380829],[-1958.84654696  1850.08610934   824.02078777],[ 0.02835287 -0.01416235  0.60379214]
[-873.17699023 -786.24294632   23.37902985],[ 0.00691377 -0.02152054 -0.90382211],[-1958.8721527   1850.15272011   824.00376638],[ 0.02884781 -0.01431842  0.60308425]
[-873.15418907 -786.29680499   23.38033539],[ 0.00665061 -0.0215873  -0.90347501],[-1958.90061795  1850.11053764   824.00513172],[ 0.02864572 -0.01417086  0.60309525]
[-873.16951671 -786.27284815   23.32607231],[ 0.00647404 -0.02066203 -0.90318108],[-1958.88258371  1850.08628979   823.97071798],[ 0.02853818 -0.01423312  0.60298868]
[-873.17847956 -786.24727025   23.3594808 ],[ 0.00661991 -0.02136631 -0.90317944],[-1958.84740168  1850.06984607   823.93588727],[ 0.02855417 -0.01422564  0.60322585]
[-873.15358664 -786.27253746   23.38026729],[ 0.006664   -0.02147605 -0.90327412],[-1958.84187752  1850.06116795   823.96133415],[ 0.0284669  -0.01407565  0.60355827]
[-873.17954656 -786.25117681   23.39195146],[ 0.00759744 -0.02158678 -0.90399242],[-1958.87097892  1850.12098758   824.01266146],[ 0.0284199  -0.01420837  0.60333735]
[-873.194014   -786.26635907   23.32288265],[ 0.00601388 -0.02071438 -0.90292966],[-1958.86149956  1850.0913946    823.98470951],[ 0.02846497 -0.01410891  0.60338535]
[-873.1461088  -786.27866998   23.36254277],[ 0.00675335 -0.02137252 -0.90346251],[-1958.8628215   1850.06127365   823.99322404],[ 0.02847035 -0.01411075  0.60355762]
[-873.18228173 -786.24551748   23.3547979 ],[ 0.006883   -0.02145913 -0.90332007],[-1958.85770284  1850.1050015    823.97159992],[ 0.0286236  -0.01430051  0.60336954]
[-873.18222025 -786.25947765   23.36516021],[ 0.00713623 -0.02128999 -0.90361233],[-1958.83959442  1850.0847555    823.95488474],[ 0.02960387 -0.01457932  0.60402443]
[-873.21478225 -786.21943614   23.33777079],[ 0.00703912 -0.02138157 -0.90308323],[-1958.87648264  1850.06636709   823.96254471],[ 0.02861254 -0.01421462  0.60320884]
[-873.17340762 -786.26705495   23.37653958],[ 0.00627867 -0.02119153 -0.90299426],[-1958.83860179  1850.08009004   823.94970642],[ 0.02860437 -0.01420268  0.60340397]
[-873.13245849 -786.26969489   23.37120827],[ 0.00668551 -0.02105563 -0.903293  ],[-1958.87722423  1850.09240976   823.9793461 ],[ 0.0285758  -0.01428686  0.60290083]
[-873.18142905 -786.28059363   23.3441112 ],[ 0.00612679 -0.0207148  -0.90313694],[-1958.83621641  1850.08187481   823.9267682 ],[ 0.0287013  -0.01424794  0.60331877]
[-873.1622768  -786.27791687   23.36162984],[ 0.00689063 -0.02111099 -0.90295157],[-1958.83558646  1850.08298844   823.98677737],[ 0.02850097 -0.01427372  0.60362395]
[-873.15375835 -786.26421161   23.38910794],[ 0.00740206 -0.02155134 -0.90392798],[-1958.85478311  1850.11807608   823.97784807],[ 0.02855412 -0.01428013  0.60323739]
[-873.15830268 -786.25465374   23.37587363],[ 0.00763143 -0.0216494  -0.90352981],[-1958.82627369  1850.06612715   823.91831832],[ 0.02874501 -0.01409393  0.60332302]
[-873.13595887 -786.27331156   23.40043528],[ 0.00689144 -0.02134157 -0.90335705],[-1958.87357989  1850.0762981    823.9824586 ],[ 0.02840168 -0.01419623  0.60318221]
[-873.17620392 -786.23794197   23.37304377],[ 0.00692917 -0.02136561 -0.90361264],[-1958.8853691   1850.10032992   823.99240286],[ 0.0285396  -0.01431148  0.6029549 ]
[-873.26422118 -786.23145931   23.27775781],[ 0.00557051 -0.02283018 -0.90257618],[-1958.84920576  1850.09043506   823.96393263],[ 0.02852889 -0.01402039  0.6035436 ]
[-873.17416063 -786.24389682   23.39899824],[ 0.00761412 -0.02131215 -0.90361612],[-1958.88545426  1850.13473175   823.98932882],[ 0.0287685 -0.0141158  0.6030957]
[-873.15714656 -786.27974586   23.34554196],[ 0.006344   -0.02125695 -0.90318741],[-1958.84173023  1850.10106466   824.00446255],[ 0.0295155  -0.01458905  0.60421269]
[-873.1721316  -786.26153058   23.35163861],[ 0.00629598 -0.02106771 -0.9030646 ],[-1958.85763116  1850.09027047   824.03725594],[ 0.02801644 -0.01418663  0.60364534]
[-873.27059692 -786.24174953   23.30429498],[ 0.00513089 -0.02290625 -0.90204694],[-1958.86683893  1850.08595845   823.97022084],[ 0.02865513 -0.01409424  0.60336794]
[-873.18320775 -786.26804054   23.34979451],[ 0.00647983 -0.0212421  -0.90324459],[-1958.85110519  1850.09397661   823.95903559],[ 0.028547   -0.01436858  0.60314118]
