obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-1910.08117433  2500.1545773    781.80763202],[-1.21396173 -0.74038454 -0.38587532],[-894.98725463 -754.40565259  151.18915879],[ 0.01988102 -0.02966299  0.61074103]
[-1910.0303083   2500.10860382   781.74624909],[-1.21383993 -0.74040351 -0.38597086],[-894.97220755 -754.4508685   151.20299972],[ 0.01948462 -0.02912206  0.61095634]
[-1910.00893088  2500.28528719   782.22127632],[-1.22010959 -0.74444988 -0.38870712],[-895.00703072 -754.43330361  151.18981215],[ 0.01941062 -0.02913038  0.61109864]
[-1910.17992783  2500.35756053   782.30711095],[-1.21966071 -0.74329289 -0.38839032],[-894.99838061 -754.47539611  151.18924347],[ 0.01912082 -0.02909763  0.61102871]
[-1910.05247085  2500.32603882   782.21946828],[-1.22049376 -0.74378608 -0.38850503],[-895.00548565 -754.31137679  151.24937487],[ 0.02052512 -0.02892231  0.61018698]
[-1862.53415777  2493.66678663   783.57978871],[-0.01129706 -0.00805452 -1.88283686],[-895.00236082 -754.295098    151.24185141],[ 0.02088746 -0.02903395  0.61020969]
[-1862.17435006  2493.470006     783.54372472],[-0.01246797 -0.01864437 -1.88044834],[-894.98747235 -754.44292719  151.17853161],[ 0.01951562 -0.02937689  0.61099385]
[-1862.61174875  2493.77463395   783.71885984],[-0.01075452 -0.00750396 -1.88316385],[-894.95877664 -754.43542296  151.22648981],[ 0.0196121  -0.0291941   0.61091239]
[-1862.58400221  2493.70506964   783.68057184],[-0.01239175 -0.00708738 -1.8834136 ],[-894.98831607 -754.49217774  151.18619925],[ 0.01917665 -0.02922163  0.61125069]
[-1862.12185547  2493.41931866   783.4941192 ],[-0.01187874 -0.01925184 -1.880586  ],[-895.00454705 -754.47915077  151.19536466],[ 0.01926866 -0.02916311  0.61118301]
[-1862.61111106  2493.72802543   783.66809681],[-0.01226087 -0.00666691 -1.88351579],[-894.98088305 -754.44028935  151.20130737],[ 0.01958422 -0.02925795  0.61101853]
[-1862.70431944  2493.77451016   783.6413067 ],[-0.01111172 -0.00500111 -1.88413096],[-894.96156842 -754.41574561  151.20387612],[ 0.01973438 -0.02933791  0.61101349]
[-1862.65338405  2493.7319782    783.33993849],[-7.23767339e-03 -8.49382013e-04 -1.88338102e+00],[-894.99365547 -754.34099533  151.27346398],[ 0.02031796 -0.02872832  0.61022482]
[-1862.71728248  2493.70770839   783.56362743],[-0.01026789 -0.00444251 -1.88502369],[-894.97803155 -754.31562836  151.24242587],[ 0.02040168 -0.02897471  0.61020282]
[-1862.47958372  2493.63283066   783.54452968],[-0.01168007 -0.0069432  -1.88286988],[-895.01205148 -754.40395114  151.19691244],[ 0.01956064 -0.02911971  0.61088731]
[-1862.57663556  2493.76881344   783.62742933],[-0.01095519 -0.00579317 -1.88276501],[-895.02157194 -754.29759912  151.24640082],[ 0.0205314  -0.02882886  0.6100818 ]
[-1862.12167403  2493.43524746   783.3459934 ],[-0.01096516 -0.0166923  -1.88037089],[-894.99930945 -754.44359031  151.18332426],[ 0.01953776 -0.02928509  0.61096857]
[-1862.22423757  2493.38627182   783.40960612],[-0.01129844 -0.01653804 -1.88206531],[-894.97640787 -754.31857924  151.25559285],[ 0.02048516 -0.0289543   0.61015441]
[-1862.53384934  2493.71658436   783.55907165],[-0.00989529 -0.00622867 -1.88253155],[-895.00917772 -754.4205426   151.22005084],[ 0.01961997 -0.02919015  0.61082174]
[-1862.26109992  2493.42255585   783.44511806],[-0.01140512 -0.01678489 -1.88199522],[-894.97010603 -754.44023984  151.22716778],[ 0.01959098 -0.02934367  0.61104789]
[-1862.28612691  2493.44384775   783.40965733],[-0.01064103 -0.01636801 -1.88215495],[-895.00191075 -754.46596958  151.15831839],[ 0.01919742 -0.02926748  0.61096665]
[-1862.53474591  2493.67218932   783.53334642],[-0.01165496 -0.00632486 -1.88342007],[-894.99291825 -754.3257256   151.24143753],[ 0.02061622 -0.02895439  0.61037899]
[-1862.6488149   2493.77290567   783.57862469],[-0.00976367 -0.00521763 -1.88332052],[-895.00726928 -754.41480152  151.19095336],[ 0.01991423 -0.02941427  0.61093038]
[-1862.25847037  2493.65767679   783.68671075],[-0.00855615 -0.01986024 -1.88002941],[-895.01323209 -754.45571304  151.18084613],[ 0.0194857  -0.02895795  0.61094706]
[-1862.70965405  2493.74234138   783.60844856],[-0.01022563 -0.00330227 -1.88459819],[-895.00069994 -754.30643699  151.24909101],[ 0.02048146 -0.02914989  0.61025571]
[-1862.64516211  2493.77652217   783.71914914],[-0.01069649 -0.00749446 -1.88363082],[-894.9755464  -754.45391501  151.18148232],[ 0.01952528 -0.02938845  0.61101577]
[-1862.69412673  2493.76272531   783.6767694 ],[-0.01126713 -0.00656325 -1.88415425],[-895.00269691 -754.33304547  151.24682004],[ 0.02030134 -0.02889366  0.61059558]
[-1862.69131776  2493.7875408    783.58108593],[-0.00906627 -0.00461104 -1.88374009],[-895.01206754 -754.43960955  151.19779467],[ 0.01959778 -0.02912882  0.61104268]
[-1862.67492263  2493.71042889   783.58353752],[-0.01169995 -0.00409094 -1.88429357],[-895.00605665 -754.44284398  151.22304129],[ 0.01960127 -0.02879177  0.61114897]
[-1862.57118113  2493.68328073   783.59450448],[-0.01100289 -0.00641544 -1.88372146],[-894.99828297 -754.29682618  151.25339279],[ 0.02073137 -0.02900455  0.6100767 ]
[-1862.41715836  2493.45196083   783.37512499],[-0.00965359 -0.01382802 -1.88406918],[-894.99390492 -754.4853072   151.17333614],[ 0.01932769 -0.0292617   0.61107321]
[-1862.18227419  2493.40693969   783.4531452 ],[-0.01201344 -0.01785732 -1.88168004],[-894.99947138 -754.46646631  151.16920006],[ 0.01916632 -0.02923929  0.61126003]
[-1862.56722661  2493.72534328   783.5845007 ],[-0.01071339 -0.00629421 -1.8827856 ],[-894.99008115 -754.45861318  151.20044858],[ 0.01954228 -0.02914029  0.61116932]
[-1862.57469587  2493.6889825    783.54632924],[-0.01014378 -0.00598219 -1.88336732],[-895.01303966 -754.44122366  151.20000447],[ 0.01955935 -0.02914858  0.61109062]
[-1862.58398822  2493.66620304   783.4771344 ],[-0.01048308 -0.00493562 -1.88343543],[-894.99823396 -754.42770134  151.1985922 ],[ 0.0196907  -0.02926131  0.61098937]
[-1862.21905152  2493.40584083   783.4121863 ],[-0.01196514 -0.01696508 -1.88162618],[-894.97892602 -754.46941552  151.18415843],[ 0.01931895 -0.02943738  0.61116241]
[-1862.70053746  2493.81189146   783.73455857],[-0.00981013 -0.0077019  -1.88361334],[-895.00165439 -754.31275141  151.23810053],[ 0.02045457 -0.0289831   0.61040319]
[-1862.75749841  2493.7678365    783.49957792],[-0.00955486 -0.00295002 -1.88484884],[-895.00288974 -754.46704211  151.20030336],[ 0.01927003 -0.02913195  0.61109824]
[-1862.6521859   2493.76897755   783.65111619],[-0.01181854 -0.00511169 -1.88350411],[-894.99240781 -754.40942937  151.20831398],[ 0.01988209 -0.02923054  0.61090394]
[-1862.25829328  2493.38622083   783.37152226],[-0.01028773 -0.01599918 -1.8825953 ],[-895.03506821 -754.48156243  151.15777344],[ 0.01925097 -0.02904782  0.61122901]
[-1862.29675288  2493.40723713   783.42758891],[-0.01171119 -0.0155953  -1.88277829],[-895.00291153 -754.44605364  151.20495014],[ 0.01936436 -0.02925053  0.61092899]
[-1862.61895444  2493.72979218   783.66308375],[-0.01150612 -0.00589462 -1.8834766 ],[-894.99780191 -754.45226601  151.18121965],[ 0.01935216 -0.02916444  0.61126226]
[-1862.36670322  2493.43665264   783.40836326],[-0.01078889 -0.01546754 -1.88318919],[-894.99189736 -754.41436836  151.1665422 ],[ 0.01971627 -0.02930387  0.61099182]
[-1862.69614055  2493.82679343   783.42414954],[-0.0066236  -0.00194429 -1.88311053],[-894.98330596 -754.43329238  151.192157  ],[ 0.01967179 -0.02928512  0.61092533]
[-1862.79321416  2493.86355066   783.67749456],[-0.00915763 -0.00427255 -1.88456608],[-894.9926052  -754.44285692  151.19170304],[ 0.0194932  -0.02911022  0.61103831]
[-1862.17713624  2493.38849684   783.51181407],[-0.01250631 -0.01837214 -1.88147967],[-895.00427017 -754.45382561  151.19366059],[ 0.01934094 -0.02913012  0.61119815]
[-1862.20844158  2493.42200505   783.51504431],[-0.01186733 -0.01796885 -1.88154272],[-895.02353321 -754.42180746  151.18907302],[ 0.01960766 -0.02912615  0.610676  ]
[-1862.52871877  2493.58544933   783.49241441],[-0.01208391 -0.00629704 -1.88418483],[-894.99209449 -754.41059444  151.20816533],[ 0.01963307 -0.02905935  0.61087292]
[-1862.31262901  2493.50279924   783.44609278],[-0.00900477 -0.01626726 -1.88208876],[-895.03188665 -754.31777907  151.27465209],[ 0.02041934 -0.02885774  0.61031662]
[-1862.49394584  2493.63655249   783.55776833],[-0.0110646  -0.00733071 -1.88284095],[-895.00547433 -754.46617108  151.19133916],[ 0.0194172  -0.02907321  0.61115521]
